tag,date,count
xna,2012,2191
xna,2013,1990
xna,2014,1050
xna,2015,423
xna,2016,201
xpath,2008,323
xpath,2009,1646
xpath,2010,2465
xpath,2011,4226
xpath,2012,4842
xpath,2013,4587
xpath,2014,4965
xpath,2015,4776
xpath,2016,3020
xslt,2008,700
xslt,2009,3081
xslt,2010,4010
xslt,2011,5890
xslt,2012,6534
xslt,2013,6044
xslt,2014,4947
xslt,2015,3776
xslt,2016,2278
